"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"2506",23764351,4.95,0.22,13.55,80.67,0.61,4.95,0.22,13.55,80.67,0.61
"2507",23764353,9.28,23.02,1.99,24.11,18.78,9.28,23.02,1.99,24.11,18.78
"2508",23764355,4.12,28.15,5.03,37.99,21.51,7.15,46.04,0.61,3.26,34.51
"2509",23764357,5.9,64.87,6.41,20,0,6.32,56.82,0.57,1.78,22.33
"2510",23764359,8.96,13.35,0,75.08,2.37,8.96,13.35,0,75.08,2.37
"2511",23764361,5.36,0,10.87,83.77,0,13.18,6.73,9.79,66.91,0.52
"2512",23764363,0.91,0,9.31,89.78,0,2.18,0,5.61,92.2,0
"2513",23764365,0.28,0,13.61,86.11,0,4.63,38.93,8.78,27.12,10.86
"2514",23764367,6.13,57.28,0.42,20.27,11.75,5.87,69.55,0.07,2.24,19.01
"2515",23764369,7.39,73.83,1.21,1.65,14.8,7.39,73.83,1.21,1.65,14.8
"2516",23764371,8.98,0,19.81,71.05,0.15,22.56,4.28,11.2,51.98,7.03
"2517",23764373,3.34,0,5.52,91.14,0,11.69,3.84,2.55,80.54,0.99
"2518",23764375,6.52,58.17,0,0,23.35,6.52,58.17,0,0,23.35
"2519",23764377,0.32,42.22,0.08,0,54.62,0.32,42.22,0.08,0,54.62
"2520",23764379,14.97,8.39,9.91,60.95,5.77,14.97,8.39,9.91,60.95,5.77
"2521",23764381,6.77,19.26,20.3,48.08,1.63,4.94,41.83,8.41,22.72,11.67
"2522",23764383,8.21,42.03,0.51,3.57,32.78,8.21,42.03,0.51,3.57,32.78
"2523",23764385,3.25,0,2.48,94.27,0,3.25,0,2.48,94.27,0
"2524",23764387,5.94,50.23,0,0,27.67,5.94,50.23,0,0,27.67
"2525",23764389,1.44,25.63,0,62.82,10.11,4.55,41.92,1.6,31.5,17.17
"2526",23764391,0,7.32,5.54,69.11,8.12,4.83,43.44,1.74,28.58,17.83
"2527",23764393,36.66,0,30.68,1.59,25.1,33.68,9.89,16.91,16.16,11.22
"2528",23764395,25.21,0.33,9.03,55.63,9.55,32.55,6.2,15.15,30.08,11.03
"2529",23764397,7.41,5.56,42.59,33.8,5.56,7.87,3.38,44.66,35.96,5.06
"2530",23764399,0.44,51.76,0,0,44.35,0.44,51.76,0,0,44.35
"2531",23764401,7.37,62.66,0,0,24.08,7.37,62.66,0,0,24.08
"2532",23764403,0,93.58,0,0,6.42,0,93.58,0,0,6.42
"2533",23764405,8.62,34.38,0.09,0.68,51.97,8.62,34.38,0.09,0.68,51.97
"2534",23764407,8.57,0,47.86,39.29,4.29,8.57,0,47.86,39.29,4.29
"2535",23764409,3.95,54.28,1.86,8.75,17.2,3.95,54.28,1.86,8.75,17.2
"2536",23764411,3.15,29.62,0,0,66.12,4.44,34.87,0,0,58.45
"2537",23764413,9.92,28.87,2.42,37.76,11.75,8.55,44.28,1.44,22.47,9.31
"2538",23764415,33.5,10.48,16.08,17.04,10.39,33.5,10.48,16.08,17.04,10.39
"2539",23764417,6.65,1.06,1.84,90.18,0.27,6.51,0.56,2.27,90.3,0.15
"2540",23764419,9.4,0,0,90.6,0,6.46,0.3,2.48,90.36,0.1
"2541",23764421,0,0,0,100,0,5.54,0.49,0.3,93.57,0
"2542",23764423,6.53,66.93,0,0,5.73,6.53,66.93,0,0,5.73
